Time [ms],[H2O] ppm
0.0012430298120030825, 1370.5208659475375
0.0005213324706818678, 1299.7403120745894
0.0015162091621945817, 1478.6647680271267
0.018154174340868134, 1512.6563081531885
0.010604459720126358, 1395.2803144159934
0.009017041790431501, 1365.9850756878795
0.01994027349287253, 1703.7125414443599
0.025188810167489806, 1757.727556425159
0.03514979718641953, 1783.8296466891238
0.025663894935708143, 1605.4096001363573
0.036873252654011424, 1906.4273736641044
0.03055707745905989, 1697.7449434647033
0.043079849660138114, 1942.5564164990178
0.04592298764520103, 1992.5192973892304
0.04816645672807479, 2086.3335974693423
0.050606031448339917, 2137.0252876686454
0.05703041282680826, 2191.399518139835
0.05332227980064158, 2043.9144958266038
0.05933369476008632, 2104.9830752290886
0.06304122541211876, 2242.425231450018
0.06954880767552357, 2335.6509211490866
0.0650905402321259, 2193.3769884409326
0.0765024089606382, 2401.13909397972
0.08647039642155568, 2524.271678908279
0.07214166757388363, 2377.162767407544
0.09300693446358033, 2432.66171085421
0.08432222178897114, 2379.5253282456742
0.09347391067748151, 2541.8787534483845
0.10106190429653594, 2597.994496054213
0.10200350144619247, 2504.7954511368125
0.1124537545093392, 2715.5319353359755
0.10612271079624258, 2656.6823278745824
0.12308011003197639, 2788.284213960568
0.11900603507220692, 2719.5559786696695
0.13152668106701798, 2839.535429106173
0.13831528245634234, 2728.139481547398
0.14251057620632362, 2855.0028203014344
0.14567281011305067, 2812.3402148726464
0.15320894082323977, 2922.679549320699
0.1575024836186582, 2871.688231171426
0.16065220240932793, 2985.9249816845722
0.16535790022573765, 2885.8550882657673
0.17558392696007957, 3055.092755292516
0.17397089202263388, 2984.3653532099247
0.16874856927542392, 2901.9655455781444
0.18519896182342588, 3072.7959458609894
0.1825792499342455, 2999.9661839765777
0.19036774566430642, 3174.10246871814
0.20170855847380537, 3090.768988924454
0.20015437920672258, 3019.91658505773
0.2065051089346595, 3202.204278127604
0.21378215602584943, 3111.3474782159346
0.2130382799604848, 3052.1130173369274
0.21570218458604268, 3201.6677426788383
0.2222061411665111, 3285.030986619468
0.23025458305853136, 3122.201555299313
0.2247084419919821, 3044.9244530845253
0.23614719555517488, 3231.5101531041128
0.23830322426341072, 3283.852771024659
0.23941840820279553, 3152.904997069879
0.2483661456981257, 3214.117789355956
0.25231556819677997, 3165.638592846225
0.26001752273444684, 3283.387240222923
0.26751448893710356, 3200.0062828944874
0.27195029684996536, 3289.5616441937063
0.286191188209126, 3203.265561988464
0.2831372565601696, 3364.766870407212
0.28653671035486544, 3253.1018832398618
0.2961616921094576, 3236.898448725081
0.30032081614163325, 3343.7641963523156
0.30266131133899615, 3270.3579829649752
0.3114120377708905, 3375.435818965094
0.31503915606898775, 3304.017150390555
0.3209715689026689, 3443.513836097371
0.33214044350023003, 3337.890081617456
0.3197207158537911, 3291.476738723096
0.33789247900338765, 3445.4713808501483
0.34503385275192894, 3354.0097849060157
0.35002016133934694, 3486.024597208691
0.35559183994550475, 3373.766495469988
0.3691946970478995, 3465.689187713875
0.36716266253738933, 3381.7282107220517
0.3651698188952625, 3344.783152037185
0.3786294495285883, 3516.1416814071836
0.3913119104861125, 3399.9149789784883
0.3823292964623229, 3346.1483794603164
0.4025361347724637, 3497.6621541199797
0.3939425230961215, 3365.650553089157
0.4003046422653666, 3361.3367184617896
0.401612743859789, 3563.0220674460734
0.4083198999616889, 3480.383629362669
0.4052032494327578, 3429.7963514555317
0.4088885743582496, 3356.1925300231173
0.4139786119134001, 3548.743418514149
0.4204099798609476, 3427.203994078176
0.4316926520194873, 3543.3989035212107
0.44003101314497167, 3440.5897720210683
0.4371423072663135, 3340.3815173639914
0.4487674504761116, 3541.9002105089126
0.44847442670167476, 3476.787833698895
0.45102642918778785, 3422.5155948083193
0.4505886994376001, 3515.1594532902454
0.47129151189380564, 3451.740042837816
0.4629006247924436, 3605.1015129005636
0.4788252645727756, 3447.082926518476
0.4820480325871936, 3552.3765475714963
0.4843850057044516, 3485.758646003386
0.4951642735505882, 3542.3000047175024
0.4932779028462115, 3499.6738817151154
0.48856090507120425, 3442.1751627379235
0.49447504726715524, 3412.77670310102
0.5045148653106668, 3414.0917514511143
0.5060180913433352, 3441.4463152033354
0.5308748032022885, 3438.303987117703
0.5233536942232269, 3417.0170226855403
0.5176821266827554, 3404.6865207111828
0.5355411384128363, 3479.230738263582
0.5364364380334878, 3436.195181393998
0.5446887660825055, 3384.9239459018045
0.5475756050842975, 3572.3129498759354
0.5531092457101692, 3447.721013780846
0.5582798157242255, 3540.746837795477
0.571263279810557, 3441.2004101848124
0.5691564225399668, 3550.0920779814405
0.5791180063515762, 3463.3535361755085
0.58518781844592, 3575.3500935415454
0.5966249755228377, 3508.4864392764057
0.6005185122809553, 3472.5524457134957
0.6004520265962452, 3576.0792965663777
0.6090982879992404, 3501.837631383725
0.6097069617738109, 3444.2177052421343
0.6244293638336862, 3483.6549489702475
0.6202119676916358, 3448.5723083246385
0.6296551203068537, 3562.209910807977
0.6277282311571697, 3477.5428323257206
0.6346980447033839, 3436.1990173720656
0.6464716509959552, 3594.3281174346457
0.6537615389786238, 3464.547864952632
0.6583574900795313, 3534.11551857095
0.6643763812005168, 3428.856980819516
0.6698563180182453, 3544.7387565884765
0.6710958469634618, 3492.5649469622567
0.680907043165419, 3427.4292830093873
0.6842162367568319, 3551.457162986906
0.6833801265265878, 3485.4686962773912
0.6913331473238808, 3410.2856724816597
0.6958209467940453, 3566.118651796977
0.700953835684281, 3513.1696106390373
0.703111600762667, 3455.5950112937926
0.7150302443738759, 3541.4681620320816
0.7153997153222698, 3430.719716943394
0.7270709064279337, 3556.5611094210185
0.7298762816017197, 3498.555311556207
0.7382206156305324, 3455.7741236526117
0.7429392476935679, 3542.078415398317
0.7430991322609195, 3476.9662466051545
0.7601468646774934, 3557.5310720838042
0.7669924530378869, 3479.3264237975586
0.7707278430338314, 3547.289274413497
0.7770907578267172, 3455.2022073965813
0.7797299497704022, 3563.0362515295988
0.7877840492796491, 3482.885146806908
0.7842152271301097, 3620.3211392701414
0.7892546601876542, 3442.262498883219
0.8015746556996195, 3542.5214873295395
0.8105162665852053, 3452.7569183192372
0.8050018308009905, 3381.2033394224795
0.8147908662348367, 3553.4941112861034
0.8147328841354289, 3435.9384343968713
0.8274488174626358, 3566.142909452005
0.8364116604328471, 3513.9690665620506
0.8355132152350169, 3475.3492573007034
0.8445011542905276, 3586.297143617073
0.8455769787580805, 3508.548673256911
0.857323295716899, 3575.1408377634248
0.8702711315165113, 3475.8390745742836
0.8618122693946046, 3435.4701516723553
0.8752285770473942, 3606.973902120456
0.8700638936507026, 3550.4461291851158
0.8740052320585863, 3501.9000584953856
0.8820418204838008, 3591.731464323051
0.8787081910366077, 3510.901115780975
0.8939894586647368, 3600.021473247367
0.8981475171904725, 3509.793236450936
0.9121068814526407, 3600.537132029469
0.9109645942558984, 3540.399056985778
0.915610169996754, 3493.9805563719715
0.9245576685117423, 3634.092004426918
0.925160807532253, 3550.3915806840128
0.9286172779091302, 3503.154036297993
0.9331628836041468, 3667.636056242981
0.9362479742619787, 3600.8617175267173
0.9326505398397229, 3532.443345046467
0.9357335819157597, 3479.1668983072846
0.9526448901728661, 3577.6472581565313
0.9570314832254743, 3513.002688623935
0.9667075445021382, 3606.701946994674
0.9677796219013146, 3530.8654189596264
0.9796462022786783, 3632.658740235935
0.9866118870608651, 3533.831993558419
0.9827174134211436, 3501.815269934754
0.9878945745579315, 3664.6945463419715
0.9983788873329462, 3533.9440530768006
0.9978949197008811, 3672.6004924109748
0.9999945742985787, 3632.8841578822803
0.0031416614921309094, 1435.0532727985951
0.0022630165227471855, 1508.4513508616706
0.014349442117613576, 1475.78229306108
0.022098052908675503, 1553.2226656980183
0.01088147703825404, 1553.268400971699
0.02206111287993262, 1724.476638949919
0.028084976138500528, 1797.8465722291903
0.05735818986822966, 2087.227721204809
0.06680956007943861, 2270.675422039829
0.08059874509445214, 2344.0136924373214
0.08230502261257472, 2433.7111184209375
0.10039420287815592, 2572.2714071864193
0.1115870315872427, 2682.3175118603885
0.12020109448028016, 2747.5219397385004
0.12450988497578669, 2771.9692025703234
0.1288204345202809, 2788.261514294912
0.12881163927534217, 2829.036269831079
0.13484077968087327, 2877.941349788651
0.14087871533134327, 2886.071674210056
0.1477680306918867, 2947.205662730502
0.1736568341691747, 2926.7127420231536
0.15638825025638137, 2983.867761733297
0.15983510674788787, 3004.2410671094785
0.16588007859430876, 2979.75158710195
0.17104992356932147, 3012.3502829430304
0.1658704038248761, 3024.603818191734
0.1701739171734194, 3073.5159343452565
0.17967278170729778, 3036.7799552849756
0.18052240236838357, 3097.9385704912506
0.18655769944537187, 3118.3013215735054
0.19345493052636015, 3142.7380301114017
0.1994946252258179, 3142.7134034255732
0.2003627159012752, 3118.245032005897
0.20468997641115305, 3057.065308211769
0.22020566800764835, 3126.3190668596935
0.20207075246838546, 3199.78750688228
0.20725466983530022, 3167.1465938654937
0.21501999159174584, 3167.1149309837137
0.22536495868873446, 3207.8474693441744
0.23055503272710637, 3146.6642274520714
0.24433630202167506, 3256.699777832114
0.2434937175565402, 3162.921358196905
0.2581536318204926, 3199.5588305138717
0.2555449621716515, 3293.3513225409824
0.2529644373066146, 3256.6645968523585
0.2719533711294326, 3223.9673942679638
0.2745374140924451, 3244.344217742121
0.29093614828079345, 3219.812520558886
0.29782810221481854, 3268.714082418482
0.27883565029402496, 3317.721187217344
0.27538263713106154, 3325.890210716479
0.29090712397249546, 3354.3692138282368
0.3012503320204965, 3403.256703295931
0.308175707885289, 3297.214194118093
0.3116040943624239, 3403.214486120225
0.3176402709639062, 3419.499761648863
0.3185066025903756, 3403.186341336421
0.32711890643442537, 3476.545720321766
0.332303703325834, 3439.827331751363
0.3452397495817859, 3468.316889157047
0.3504227874242069, 3439.753451693877
0.35645984355018295, 3451.9612516688985
0.3616376042456407, 3447.862667527429
0.3280089852222295, 3350.1404600616734
0.3728735296549272, 3358.1124700741802
0.37460443385887837, 3333.640580556529
0.3771788020524582, 3398.86963512047
0.38408834647636075, 3366.2216859077316
0.40306496695626465, 3390.609141073971
0.3676649856021837, 3504.922698592234
0.37284714392011103, 3480.436736682681
0.38750705818406345, 3517.0742089996475
0.38320178578653236, 3476.3170439533583
0.4039031537989301, 3504.774938477263
0.41684887482431493, 3488.4122647931636
0.41425251851838846, 3525.12009906964
0.41513644063473526, 3427.257167684864
0.42460803990930346, 3516.922930786701
0.43409986824723096, 3512.8067561553535
0.4280742459396752, 3447.591773983315
0.4409909426567619, 3565.785793568566
0.4427200878117254, 3549.4688551581485
0.4599816355285677, 3524.9336398769383
0.4565251042676289, 3549.41256559054
0.466012534983087, 3565.6837687272764
0.47550612237000195, 3553.412642988696
0.48757759604847234, 3590.060669599589
0.45568164027800023, 3459.7116215089486
0.4599948283959761, 3463.771506572688
0.4970984486946977, 3451.387801698891
0.49795686460072225, 3471.7716613689986
0.5039842459572648, 3528.8316924338037
0.5203952934885288, 3447.2153374999352
0.5169396417520831, 3467.616787659921
0.5126317307810708, 3439.0920492744817
0.5126123812422052, 3528.796511454049
0.5384932689990485, 3545.0008707292504
0.5436894997088775, 3455.27529996183
0.5479956516309028, 3491.9549894545025
0.5523264302387558, 3414.465363445908
0.5626696382867564, 3463.352852913602
0.5626634816152998, 3491.895181788919
0.5747463891121904, 3475.5360262027953
0.5807649752237951, 3573.370812803767
0.5936983829062659, 3614.0927968703013
0.5911416052025631, 3467.314231234027
0.6359824024739267, 3585.3780811941847
0.6394389337348654, 3560.8991554805825
0.6368698426882489, 3471.2052475949417
0.638588433549286, 3503.8180158279242
0.6454927008262255, 3495.634919936887
0.6429130554856821, 3454.8707186946467
0.6230507538404437, 3536.501146020417
0.654105004670275, 3568.9942989222322
0.6610075128982267, 3568.966154138428
0.6696356481831665, 3568.930973158673
0.6799894105250939, 3568.888755982967
0.6937882703095397, 3597.3747952906756
0.6627542485430677, 3471.0997046556763
0.6627436942491411, 3520.029411299077
0.6713859019259829, 3454.754621461455
0.688642172495862, 3454.6842595019443
0.6748459512848972, 3413.9657935333857
0.693808499372899, 3503.5928575574917
0.7007145256988261, 3487.254810559221
0.7058914068697899, 3487.2337019713677
0.7110718061387291, 3470.902691169048
0.7110647699427781, 3503.5224955979816
0.7214273275296443, 3462.7055228861086
0.7248715454476691, 3495.31125492314
0.7179496876808522, 3585.0438618865114
0.736933344356707, 3576.8115126238167
0.7490144928046101, 3568.6073081449263
0.7559328324734513, 3495.184603396022
0.7291917697615964, 3466.751335557946
0.7473011790905364, 3511.5296865902437
0.7757775436288121, 3495.103687142585
0.7740624708657511, 3446.1810166951354
0.7800986474672331, 3462.466292223774
0.7921498920823447, 3592.896256567851
0.7982194906145941, 3454.237461059055
0.7990770269961249, 3478.6987962827798
0.7956257728821488, 3478.7128686746814
0.7921657235232342, 3519.5016966027506
0.8163297794680282, 3494.938336537736
0.8120086756296077, 3527.575731456547
0.799055038883778, 3580.6356851231967
0.8076831741687174, 3580.600504143442
0.8128582962906936, 3588.7343466628217
0.8197590454696573, 3596.8611529862515
0.8249368061651148, 3592.7625688447815
0.8284126869649193, 3478.579180951612
0.8258180897079803, 3507.132064120856
0.8387462202434874, 3572.31890150909
0.8421877995880309, 3617.1570602069714
0.8534272430952927, 3511.096960539256
0.8577219611988973, 3600.7838322289454
0.8628944447473919, 3621.150101409176
0.8654908010533187, 3584.4422671326993
0.859465178745763, 3519.2272849606607
0.8672305005022085, 3519.195622078881
0.8758340091013195, 3633.3297566003935
0.8827505897211732, 3568.062002958722
0.8896627727185575, 3523.1816270851346
0.8853275964882346, 3621.058630861813
0.8956927926485825, 3568.00923148909
0.9025917827785586, 3584.2909889197526
0.9086235617575713, 3620.963642216474
0.9172446608465601, 3653.5482656656523
0.9198418966769808, 3612.7629558355593
0.9310602315963898, 3604.562269454644
0.9069243204353996, 3498.6464118039244
0.9181364986833518, 3518.9880542983265
0.9233177774767849, 3498.5795679423895
0.9259035794887851, 3510.801440309313
0.9448845975911584, 3514.8015177074685
0.9526288107597509, 3612.6292681124896
0.9603923734672088, 3620.7525563379436
0.9621276752936296, 3575.8932890522087
0.9431448981422683, 3580.048162761287
0.9741947513496303, 3632.9286934311854
0.976793746229039, 3583.9884324938585
0.9854236405629659, 3575.79830040687
0.9612762955835559, 3522.889624953167
0.9923129559235095, 3636.932288927316
0.9957721257579304, 3600.2209365528643
0.938842264318219, 3527.0585710541473
0.8482415666793905, 3551.892824663276
0.9181241853404376, 3576.0727120489596
0.5833648496276973, 3520.3530763128238
0.5246952887390961, 3512.437355867925
0.393561704799917, 3447.732497902335
0.3728576982140375, 3431.507030039281
0.3383521932702303, 3399.0279495293676
0.07026872991385935, 2233.9640696653764
0.029821157489414885, 1748.9098293898392
